AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-214,15:29:50.69,18:29:59.5,72,V,7.211,0.1,
000-BBW-214,15:29:50.69,18:29:59.5,72,B,8.275,0.1729,
000-BBW-480,15:43:14.36,31:23:04.5,73,V,7.255,0.032,
000-BBW-480,15:43:14.36,31:23:04.5,73,B,7.723,0.0654,
000-BBX-537,16:28:37.89,19:01:07.1,73,V,7.251,0.1,
000-BBX-537,16:28:37.89,19:01:07.1,73,B,8.172,0.1729,
000-BPW-460,16:12:17.50,32:39:19.3,73,V,7.341,0.032,
000-BPW-460,16:12:17.50,32:39:19.3,73,B,8.401,0.0654,
000-BBW-644,15:52:02.26,29:52:54.0,74,V,7.357,0.1,
000-BBW-644,15:52:02.26,29:52:54.0,74,B,8.871,0.1729,
000-BBX-096,16:10:06.46,25:29:16.0,74,V,7.412,0.026,
000-BBX-096,16:10:06.46,25:29:16.0,74,B,8.346,0.0608,
000-BBX-428,16:23:04.58,19:30:21.3,74,V,7.381,0.032,
000-BBX-428,16:23:04.58,19:30:21.3,74,B,7.561,0.0654,
000-BBW-176,15:26:30.15,28:07:39.1,75,V,7.462,0.032,
000-BBW-176,15:26:30.15,28:07:39.1,75,B,8.803,0.0662,
000-BBW-559,15:47:40.83,28:28:10.4,75,V,7.465,0.024,BINO_COMP
000-BBW-559,15:47:40.83,28:28:10.4,75,B,7.918,0.0449,BINO_COMP
000-BKS-233,15:55:25.81,29:32:13.5,76,V,7.633,0.013,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BKS-233,15:55:25.81,29:32:13.5,76,B,7.695,0.0256,"BINO_COMP. HD 142796 - VAR (ampl. 0.003 TESS). Combined magnitude of a close 3.6"" double (V= 7.68 and 11.1)."
000-BBX-690,16:33:09.85,23:07:03.1,77,V,7.724,0.039,
000-BBX-690,16:33:09.85,23:07:03.1,77,B,8.967,0.0767,
000-BBW-657,15:52:30.86,28:54:47.9,78,V,7.806,0.014,BINO_COMP
000-BBW-657,15:52:30.86,28:54:47.9,78,B,9.022,0.0278,BINO_COMP
000-BBW-881,16:01:03.91,26:10:20.7,79,V,7.886,0.032,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBW-881,16:01:03.91,26:10:20.7,79,B,8.327,0.0654,BINO_COMP.  HD 143707 GDOR - Ampl. 0.003 TESS.
000-BBX-436,16:24:00.61,19:38:04.4,79,V,7.859,0.053,
000-BBX-436,16:24:00.61,19:38:04.4,79,B,8.615,0.0985,
000-BBX-596,16:30:41.19,18:38:02.7,79,V,7.943,0.056,
000-BBX-596,16:30:41.19,18:38:02.7,79,B,8.348,0.1035,
000-BKC-031,16:12:25.16,26:25:52.9,79,V,7.897,0.032,
000-BKC-031,16:12:25.16,26:25:52.9,79,B,8.956,0.0654,
000-BMZ-307,15:52:21.51,28:36:26.6,79,V,7.914,0.032,
000-BMZ-307,15:52:21.51,28:36:26.6,79,B,9.168,0.0654,
000-BBX-529,16:27:53.98,21:39:10.7,80,V,8.017,0.008,
000-BBX-529,16:27:53.98,21:39:10.7,80,B,8.424,0.0379,
000-BBX-758,16:34:50.99,21:44:32.9,81,V,8.059,0.04,
000-BBX-758,16:34:50.99,21:44:32.9,81,B,8.765,0.078,
000-BPX-082,15:58:34.91,26:32:35.0,81,V,8.133,0.032,BINO_COMP.
000-BPX-082,15:58:34.91,26:32:35.0,81,B,9.175,0.0662,BINO_COMP.
000-BKC-032,16:10:57.18,26:23:54.7,82,V,8.173,0.016,HD 145627 - ROT: - V= 8.17
000-BKC-032,16:10:57.18,26:23:54.7,82,B,8.694,0.0314,HD 145627 - ROT: - V= 8.17
000-BBX-500,16:26:30.31,18:24:36.6,83,V,8.34,0.057,
000-BBX-500,16:26:30.31,18:24:36.6,83,B,8.772,0.1057,
000-BBW-675,15:53:08.46,27:48:52.0,84,V,8.359,0.01,
000-BBW-675,15:53:08.46,27:48:52.0,84,B,9.485,0.0403,
000-BBW-888,16:01:28.59,26:24:16.5,84,V,8.361,0.021,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,B,8.861,0.0524,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBX-523,16:27:12.31,18:59:38.7,84,V,8.366,0.009,
000-BBX-523,16:27:12.31,18:59:38.7,84,B,8.796,0.0391,
000-BBW-365,15:36:18.97,18:50:03.3,85,V,8.528,0.012,
000-BBW-365,15:36:18.97,18:50:03.3,85,B,9.285,0.0437,
000-BBX-089,16:09:48.08,25:59:53.1,85,V,8.529,0.007,
000-BBX-089,16:09:48.08,25:59:53.1,85,B,9.118,0.0396,
000-BKD-368,16:20:25.34,30:30:34.6,85,V,8.48,0.01,V also from uvby data in 1993A&AS..102...89O. B-V from Tycho-2.
000-BKD-368,16:20:25.34,30:30:34.6,85,B,9.422,0.0354,V also from uvby data in 1993A&AS..102...89O. B-V from Tycho-2.
000-BBW-844,16:00:11.74,29:38:00.7,86,V,8.588,0.033,
000-BBW-844,16:00:11.74,29:38:00.7,86,B,9.641,0.0694,
000-BBX-612,16:30:59.05,23:59:08.2,86,V,8.605,0.042,
000-BBX-612,16:30:59.05,23:59:08.2,86,B,9.115,0.0816,
000-BBW-552,15:47:06.98,29:06:14.1,87,V,8.747,0.039,
000-BBW-552,15:47:06.98,29:06:14.1,87,B,10.011,0.0775,
000-BBX-441,16:24:37.88,19:30:01.5,87,V,8.684,0.054,
000-BBX-441,16:24:37.88,19:30:01.5,87,B,9.503,0.1007,
000-BPW-464,16:16:45.07,32:35:37.3,87,V,8.692,0.033,
000-BPW-464,16:16:45.07,32:35:37.3,87,B,9.172,0.0685,
000-BMZ-306,15:51:59.86,28:38:37.5,88,V,8.775,0.032,To Red for R CrB comp?
000-BMZ-306,15:51:59.86,28:38:37.5,88,B,10.375,0.0707,To Red for R CrB comp?
000-BPX-083,15:58:58.07,24:37:17.0,88,V,8.791,0.032,BINO_COMP
000-BPX-083,15:58:58.07,24:37:17.0,88,B,9.789,0.0671,BINO_COMP
000-BBW-520,15:45:44.86,28:58:09.6,89,V,8.858,0.032,HD 141002 - ORG - V= 8.86 (ampl. 0.004 TESS).
000-BBW-520,15:45:44.86,28:58:09.6,89,B,9.929,0.0671,HD 141002 - ORG - V= 8.86 (ampl. 0.004 TESS).
000-BKM-119,16:07:01.33,24:25:31.0,89,V,8.919,0.033,
000-BKM-119,16:07:01.33,24:25:31.0,89,B,10.209,0.0702,
000-BPX-084,15:53:43.29,26:39:32.5,89,V,8.877,0.033,
000-BPX-084,15:53:43.29,26:39:32.5,89,B,9.983,0.0702,
000-BBX-433,16:23:53.83,22:48:53.8,90,V,9.012,0.01,
000-BBX-433,16:23:53.83,22:48:53.8,90,B,9.57,0.0432,
000-BKC-033,16:03:50.70,24:15:58.7,90,V,9.047,0.033,
000-BKC-033,16:03:50.70,24:15:58.7,90,B,9.56,0.0685,
000-BKD-369,16:19:37.27,30:13:51.6,90,V,9.018,0.012,B-V from Tycho-2.
000-BKD-369,16:19:37.27,30:13:51.6,90,B,9.87,0.0534,B-V from Tycho-2.
000-BKZ-972,16:06:00.62,20:21:00.7,90,V,9.012,0.036,
000-BKZ-972,16:06:00.62,20:21:00.7,90,B,9.696,0.0769,
000-BLY-736,16:26:29.63,19:28:45.8,90,V,8.951,0.034,
000-BLY-736,16:26:29.63,19:28:45.8,90,B,9.917,0.1626,
000-BBW-146,15:25:28.85,19:48:35.8,91,V,9.123,0.068,
000-BBW-146,15:25:28.85,19:48:35.8,91,B,10.135,0.1268,
000-BBW-202,15:28:13.85,20:04:24.5,91,V,9.12,0.074,
000-BBW-202,15:28:13.85,20:04:24.5,91,B,9.766,0.1351,
000-BBX-363,16:21:00.36,19:21:41.7,91,V,9.086,0.011,
000-BBX-363,16:21:00.36,19:21:41.7,91,B,10.038,0.0492,
000-BBX-574,16:30:11.93,23:51:35.4,91,V,9.055,0.046,
000-BBX-574,16:30:11.93,23:51:35.4,91,B,10.12,0.0897,
000-BBX-658,16:32:38.26,21:27:30.9,91,V,9.089,0.045,
000-BBX-658,16:32:38.26,21:27:30.9,91,B,9.653,0.0892,
000-BPW-465,16:18:26.79,33:02:29.4,91,V,9.146,0.034,
000-BPW-465,16:18:26.79,33:02:29.4,91,B,9.949,0.0725,
000-BBW-181,15:27:03.86,20:03:22.2,92,V,9.156,0.012,
000-BBW-181,15:27:03.86,20:03:22.2,92,B,9.623,0.0485,
000-BBX-126,16:11:25.74,25:25:15.6,92,V,9.249,0.039,
000-BBX-126,16:11:25.74,25:25:15.6,92,B,9.688,0.0775,
000-BBW-787,15:57:54.56,25:45:29.9,93,V,9.307,0.036,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,B,10.744,0.0761,NSV 7370 - CST.
000-BBX-005,16:06:15.31,19:10:07.2,93,V,9.309,0.037,
000-BBX-005,16:06:15.31,19:10:07.2,93,B,10.075,0.0801,
000-BBX-286,16:18:09.41,25:51:41.9,93,V,9.321,0.053,
000-BBX-286,16:18:09.41,25:51:41.9,93,B,9.802,0.101,
000-BBX-577,16:30:14.45,23:16:50.8,93,V,9.336,0.038,
000-BBX-577,16:30:14.45,23:16:50.8,93,B,9.83,0.0788,
000-BPW-466,16:13:32.60,32:48:25.3,93,V,9.294,0.035,
000-BPW-466,16:13:32.60,32:48:25.3,93,B,10.382,0.0774,
000-BBW-645,15:52:02.61,27:36:11.1,94,V,9.37,0.039,
000-BBW-645,15:52:02.61,27:36:11.1,94,B,10.089,0.0793,
000-BBW-793,15:58:21.12,29:34:31.1,94,V,9.37,0.034,
000-BBW-793,15:58:21.12,29:34:31.1,94,B,10.543,0.076,
000-BKD-370,16:23:57.45,30:36:49.9,94,V,9.374,0.011,B-V from Tycho-2.
000-BKD-370,16:23:57.45,30:36:49.9,94,B,9.94,0.0357,B-V from Tycho-2.
000-BKZ-973,16:05:55.26,20:17:18.7,94,V,9.399,0.04,
000-BKZ-973,16:05:55.26,20:17:18.7,94,B,10.093,0.0885,
000-BBX-520,16:27:04.19,19:22:05.8,95,V,9.456,0.012,
000-BBX-520,16:27:04.19,19:22:05.8,95,B,9.992,0.0475,
000-BJQ-023,16:02:26.74,28:16:46.0,95,V,9.536,0.028,
000-BJQ-023,16:02:26.74,28:16:46.0,95,B,9.998,0.0573,
000-BBW-652,15:52:18.07,28:05:22.7,96,V,9.555,0.013,
000-BBW-652,15:52:18.07,28:05:22.7,96,B,10.238,0.0459,
000-BBX-683,16:33:01.99,18:36:12.6,96,V,9.639,0.011,
000-BBX-683,16:33:01.99,18:36:12.6,96,B,10.157,0.0561,
000-BKC-038,16:11:51.35,25:14:09.6,96,V,9.57,0.029,
000-BKC-038,16:11:51.35,25:14:09.6,96,B,10.234,0.0666,
000-BKD-371,16:21:55.97,31:12:31.1,96,V,9.61,0.03,V also from CMC14.
000-BKD-371,16:21:55.97,31:12:31.1,96,B,10.058,0.0716,V also from CMC14.
000-BBW-696,15:54:11.50,29:25:13.1,97,V,9.657,0.036,
000-BBW-696,15:54:11.50,29:25:13.1,97,B,10.598,0.0805,
000-BBX-315,16:19:13.70,25:52:52.4,97,V,9.711,0.061,
000-BBX-315,16:19:13.70,25:52:52.4,97,B,10.309,0.1146,
000-BPZ-177,15:37:38.24,21:10:01.6,97,V,9.654,0.041,
000-BPZ-177,15:37:38.24,21:10:01.6,97,B,10.069,0.0872,
000-BBW-796,15:58:28.42,25:56:30.9,98,V,9.809,0.023,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,B,10.843,0.0419,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBX-014,16:06:46.81,18:20:37.0,98,V,9.782,0.013,
000-BBX-014,16:06:46.81,18:20:37.0,98,B,10.391,0.0585,
000-BLY-735,16:28:43.57,19:03:34.8,98,V,9.792,0.031,
000-BLY-735,16:28:43.57,19:03:34.8,98,B,10.297,0.1738,
000-BBX-429,16:23:11.29,19:02:25.0,99,V,9.902,0.077,
000-BBX-429,16:23:11.29,19:02:25.0,99,B,11.036,0.1537,
000-BBX-622,16:31:20.08,23:17:23.6,99,V,9.949,0.015,
000-BBX-622,16:31:20.08,23:17:23.6,99,B,10.945,0.0765,
000-BBW-554,15:47:16.23,28:16:46.2,100,V,9.998,0.044,
000-BBW-554,15:47:16.23,28:16:46.2,100,B,10.709,0.0896,
000-BBX-127,16:11:26.23,24:38:29.2,100,V,9.981,0.031,
000-BBX-127,16:11:26.23,24:38:29.2,100,B,11.011,0.0675,
000-BKD-372,16:22:41.71,31:01:42.4,100,V,10.011,0.02,B-V from Tycho-2 + 2MASS/CMC14.
000-BKD-372,16:22:41.71,31:01:42.4,100,B,10.521,0.1059,B-V from Tycho-2 + 2MASS/CMC14.
000-BKQ-592,16:03:27.66,18:35:10.6,100,V,9.958,0.043,
000-BKQ-592,16:03:27.66,18:35:10.6,100,B,10.396,0.0926,
000-BBX-631,16:31:34.88,18:36:26.4,101,V,10.149,0.073,
000-BBX-631,16:31:34.88,18:36:26.4,101,B,10.487,0.1388,
000-BMR-339,16:05:50.25,26:56:21.5,101,V,10.123,0.08,
000-BMR-339,16:05:50.25,26:56:21.5,101,B,10.491,0.1595,
000-BBW-556,15:47:23.09,28:18:25.4,102,V,10.192,0.018,
000-BBW-556,15:47:23.09,28:18:25.4,102,B,10.783,0.0607,
000-BBW-779,15:57:40.02,26:06:18.8,102,V,10.167,0.01,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,B,10.753,0.05,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-806,15:58:53.61,19:41:47.2,102,V,10.225,0.015,
000-BBW-806,15:58:53.61,19:41:47.2,102,B,11.355,0.1051,
000-BBX-187,16:13:31.01,24:53:27.1,102,V,10.158,0.033,
000-BBX-187,16:13:31.01,24:53:27.1,102,B,10.897,0.0756,
000-BBX-299,16:18:39.02,25:50:17.8,102,V,10.189,0.016,
000-BBX-299,16:18:39.02,25:50:17.8,102,B,11.353,0.0708,
000-BCT-109,15:57:45.30,20:58:05.0,102,V,10.233,0.015,
000-BCT-109,15:57:45.30,20:58:05.0,102,B,11.288,0.0266,
000-BKM-951,15:40:37.02,29:29:02.1,102,V,10.237,0.049,
000-BKM-951,15:40:37.02,29:29:02.1,102,B,10.743,0.1195,
000-BKZ-974,16:04:49.82,20:27:44.7,102,V,10.245,0.02,
000-BKZ-974,16:04:49.82,20:27:44.7,102,B,10.856,0.0529,
000-BNX-067,15:57:28.60,22:10:10.6,102,V,10.177,0.006,
000-BNX-067,15:57:28.60,22:10:10.6,102,B,11.358,0.0277,
000-BNY-710,15:57:41.48,28:32:52.4,102,V,10.154,0.08,
000-BNY-710,15:57:41.48,28:32:52.4,102,B,10.774,0.1988,
000-BLY-737,16:25:23.05,19:17:33.8,103,V,10.336,0.063,
000-BLY-737,16:25:23.05,19:17:33.8,103,B,10.824,0.1599,
000-BMR-340,16:09:03.75,27:43:55.2,103,V,10.288,0.121,
000-BMR-340,16:09:03.75,27:43:55.2,103,B,11.102,0.245,
000-BBX-632,16:31:36.45,18:23:20.3,104,V,10.413,0.013,
000-BBX-632,16:31:36.45,18:23:20.3,104,B,11.008,0.081,
000-BKM-952,15:38:08.20,29:46:50.9,104,V,10.438,0.032,GSC 2039 0616
000-BKM-952,15:38:08.20,29:46:50.9,104,B,11.53,0.088,GSC 2039 0616
000-BNY-709,15:58:29.66,29:15:44.4,104,V,10.42,0.062,
000-BNY-709,15:58:29.66,29:15:44.4,104,B,11.025,0.2353,
000-BBW-849,16:00:17.17,19:43:32.6,105,V,10.461,0.021,
000-BBW-849,16:00:17.17,19:43:32.6,105,B,11.395,0.057,
000-BBX-185,16:13:17.37,25:06:11.3,105,V,10.521,0.015,
000-BBX-185,16:13:17.37,25:06:11.3,105,B,11.644,0.0843,
000-BKD-373,16:21:50.40,30:32:47.3,105,V,10.517,0.02,V also from UCAC3. B-V from Tycho-2 + 2MASS/CMC14
000-BKD-373,16:21:50.40,30:32:47.3,105,B,11.047,0.1059,V also from UCAC3. B-V from Tycho-2 + 2MASS/CMC14
000-BKQ-593,16:05:24.91,18:15:45.3,105,V,10.516,0.06,
000-BKQ-593,16:05:24.91,18:15:45.3,105,B,10.965,0.1244,
000-BPZ-178,15:39:03.97,21:14:29.6,105,V,10.467,0.057,
000-BPZ-178,15:39:03.97,21:14:29.6,105,B,11.167,0.1319,
000-BBW-570,15:48:22.57,28:24:43.0,106,V,10.609,0.016,NSV 20408 -10.61 V (0.007)TESS
000-BBW-570,15:48:22.57,28:24:43.0,106,B,11.299,0.0412,NSV 20408 -10.61 V (0.007)TESS
000-BBX-040,16:07:33.09,18:22:32.6,106,V,10.592,0.005,
000-BBX-040,16:07:33.09,18:22:32.6,106,B,11.108,0.0344,
000-BBX-325,16:19:33.79,18:21:23.8,106,V,10.644,0.094,
000-BBX-325,16:19:33.79,18:21:23.8,106,B,11.898,0.212,
000-BJS-901,15:59:26.42,26:08:47.1,106,V,10.554,0.023,
000-BJS-901,15:59:26.42,26:08:47.1,106,B,11.096,0.055,
000-BNM-863,16:07:55.78,24:53:47.1,106,V,10.588,0.072,
000-BNM-863,16:07:55.78,24:53:47.1,106,B,11.072,0.1331,
000-BBW-721,15:55:48.61,29:11:38.9,107,V,10.714,0.011,
000-BBW-721,15:55:48.61,29:11:38.9,107,B,11.74,0.0273,
000-BBW-782,15:57:51.04,26:15:51.2,107,V,10.736,0.024,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,B,11.328,0.0591,GSC 02037-01130 - CST.
000-BBX-583,16:30:27.72,18:19:45.6,107,V,10.697,0.001,
000-BBX-583,16:30:27.72,18:19:45.6,107,B,11.255,0.0014,
000-BKC-034,16:08:23.41,24:48:50.7,107,V,10.698,0.034,
000-BKC-034,16:08:23.41,24:48:50.7,107,B,11.36,0.0796,
000-BKZ-975,16:05:15.43,20:30:01.7,107,V,10.748,0.02,
000-BKZ-975,16:05:15.43,20:30:01.7,107,B,11.372,0.0529,
000-BLY-733,16:24:18.70,18:50:35.6,107,V,10.714,0.041,
000-BLY-733,16:24:18.70,18:50:35.6,107,B,11.255,0.0846,
000-BBW-186,15:27:29.17,19:51:39.1,108,V,10.833,0.018,
000-BBW-186,15:27:29.17,19:51:39.1,108,B,11.579,0.1115,
000-BBX-358,16:20:33.89,18:27:18.6,108,V,10.817,0.021,
000-BBX-358,16:20:33.89,18:27:18.6,108,B,12.018,0.1693,
000-BJQ-014,16:01:41.68,28:03:15.1,108,V,10.85,0.026,
000-BJQ-014,16:01:41.68,28:03:15.1,108,B,11.86,0.0528,
000-BKX-741,15:54:59.22,29:52:47.9,108,V,10.783,0.02,
000-BKX-741,15:54:59.22,29:52:47.9,108,B,11.511,0.0529,
000-BMR-341,16:06:24.62,27:00:30.2,108,V,10.769,0.088,
000-BMR-341,16:06:24.62,27:00:30.2,108,B,11.284,0.1774,
000-BBW-410,15:38:03.82,18:50:38.8,109,V,10.863,0.024,
000-BBW-410,15:38:03.82,18:50:38.8,109,B,12.005,0.0618,
000-BBW-727,15:56:02.21,29:24:41.6,109,V,10.901,0.069,
000-BBW-727,15:56:02.21,29:24:41.6,109,B,11.936,0.2201,
000-BBX-588,16:30:34.39,23:21:35.7,109,V,10.862,0.048,
000-BBX-588,16:30:34.39,23:21:35.7,109,B,12.012,0.1661,
000-BNM-411,16:27:03.01,23:38:02.9,109,V,10.904,0.019,
000-BNM-411,16:27:03.01,23:38:02.9,109,B,11.771,0.033,
000-BBX-414,16:22:34.09,19:22:12.9,110,V,11.019,0.058,
000-BBX-414,16:22:34.09,19:22:12.9,110,B,11.867,0.2459,
000-BBX-499,16:26:23.47,18:54:14.7,110,V,10.999,0.057,
000-BBX-499,16:26:23.47,18:54:14.7,110,B,12.054,0.1266,
000-BKD-374,16:20:46.09,30:37:40.8,110,V,10.96,0.04,V from UCAC3. B-V from Tycho-2 + 2MASS/CMC14
000-BKD-374,16:20:46.09,30:37:40.8,110,B,11.54,0.1218,V from UCAC3. B-V from Tycho-2 + 2MASS/CMC14
000-BMR-342,16:07:30.99,27:13:31.5,110,V,10.972,0.11,
000-BMR-342,16:07:30.99,27:13:31.5,110,B,11.85,0.2221,
000-BBW-557,15:47:23.71,28:14:13.7,111,V,11.076,0.036,
000-BBW-557,15:47:23.71,28:14:13.7,111,B,11.845,0.1262,
000-BBW-784,15:57:51.16,21:08:18.4,111,V,11.122,0.025,
000-BBW-784,15:57:51.16,21:08:18.4,111,B,11.896,0.1797,
000-BLP-680,15:57:46.44,19:41:43.0,111,V,11.1,0.004,
000-BLP-680,15:57:46.44,19:41:43.0,111,B,11.654,0.0184,
000-BMH-419,16:03:43.45,26:13:10.8,111,V,11.143,0.054,
000-BMH-419,16:03:43.45,26:13:10.8,111,B,12.445,0.1128,
000-BQD-414,16:18:35.21,29:38:50.9,111,V,11.064,0.002,
000-BQD-414,16:18:35.21,29:38:50.9,111,B,11.658,0.0045,
000-BBW-785,15:57:52.42,21:13:36.5,112,V,11.198,0.034,
000-BBW-785,15:57:52.42,21:13:36.5,112,B,12.081,0.1851,
